survey_year,event_id,source_survey_kp_start_km,source_survey_kp_end_km,source_easting_start_m,source_northing_start_m,source_easting_end_m,source_northing_end_m,source_length_m,source_height_m,source_comment,asset_scope,evidence_role,source_page,source_table
2012,2012-01,11.681,11.690,422146.75,5915351.73,422138.30,5915351.15,8.50,0.20,,PL854_PL855_PIGGYBACK_CORRIDOR,HISTORICAL_SPATIAL_FREESPAN_CORRIDOR_EVIDENCE,44,Appendix B Table B.1
2012,2012-02,23.126,23.140,410740.34,5914422.69,410726.49,5914417.76,14.70,0.40,Source states this span is the same span reported in 2014; specific 2014 event correspondence not uniquely determinable from this transcription.,PL854_PL855_PIGGYBACK_CORRIDOR,HISTORICAL_SPATIAL_FREESPAN_CORRIDOR_EVIDENCE,44,Appendix B Table B.1
2014,2014-01,-0.034,-0.024,433821.75,5916248.18,433816.31,5916256.10,10.02,0.88,,PL854_PL855_PIGGYBACK_CORRIDOR,HISTORICAL_SPATIAL_FREESPAN_CORRIDOR_EVIDENCE,44,Appendix B Table B.1
2014,2014-02,0.065,0.073,433728.07,5916249.53,433720.11,5916248.85,7.98,0.24,,PL854_PL855_PIGGYBACK_CORRIDOR,HISTORICAL_SPATIAL_FREESPAN_CORRIDOR_EVIDENCE,44,Appendix B Table B.1
2014,2014-03,23.120,23.126,410745.73,5914423.87,410740.01,5914421.80,6.09,0.10,,PL854_PL855_PIGGYBACK_CORRIDOR,HISTORICAL_SPATIAL_FREESPAN_CORRIDOR_EVIDENCE,44,Appendix B Table B.1
2014,2014-04,23.132,23.150,410734.21,5914419.85,410718.00,5914414.07,17.19,0.26,,PL854_PL855_PIGGYBACK_CORRIDOR,HISTORICAL_SPATIAL_FREESPAN_CORRIDOR_EVIDENCE,44,Appendix B Table B.1
2014,2014-05,23.410,23.425,410475.85,5914313.35,410460.20,5914307.10,15.02,0.21,Same span as 2018-06 (2014 and 2018); 2018 span approximately 8.14 m longer.,PL854_PL855_PIGGYBACK_CORRIDOR,HISTORICAL_SPATIAL_FREESPAN_CORRIDOR_EVIDENCE,44,Appendix B Table B.1
2014,2014-06,23.475,23.479,410408.12,5914285.63,410403.84,5914283.78,4.15,0.43,Same span as 2018-07 (2014 and 2018); 2018 span approximately 0.8 m longer.,PL854_PL855_PIGGYBACK_CORRIDOR,HISTORICAL_SPATIAL_FREESPAN_CORRIDOR_EVIDENCE,44,Appendix B Table B.1
2014,2014-07,23.533,23.541,410382.73,5914250.88,410386.05,5914243.67,7.78,0.57,,PL854_PL855_PIGGYBACK_CORRIDOR,HISTORICAL_SPATIAL_FREESPAN_CORRIDOR_EVIDENCE,44,Appendix B Table B.1
2018,2018-01,0.655,0.664,433140.41,5916203.21,433131.07,5916202.38,9.33,0.13,Span identified from 2018 survey in area not surveyed in 2014.,PL854_PL855_PIGGYBACK_CORRIDOR,HISTORICAL_SPATIAL_FREESPAN_CORRIDOR_EVIDENCE,44,Appendix B Table B.1
2018,2018-02,11.643,11.666,422185.12,5915353.32,422162.25,5915351.85,22.90,0.31,Span identified from 2018 survey in area not surveyed in 2014.,PL854_PL855_PIGGYBACK_CORRIDOR,HISTORICAL_SPATIAL_FREESPAN_CORRIDOR_EVIDENCE,44,Appendix B Table B.1
2018,2018-03,11.693,11.703,422135.40,5915350.09,422124.61,5915349.15,10.79,0.10,Span identified from 2018 survey in area not surveyed in 2014.,PL854_PL855_PIGGYBACK_CORRIDOR,HISTORICAL_SPATIAL_FREESPAN_CORRIDOR_EVIDENCE,44,Appendix B Table B.1
2018,2018-04,23.107,23.119,410758.06,5914428.69,410746.78,5914424.53,12.01,0.22,,PL854_PL855_PIGGYBACK_CORRIDOR,HISTORICAL_SPATIAL_FREESPAN_CORRIDOR_EVIDENCE,44,Appendix B Table B.1
2018,2018-05,23.140,23.154,410727.21,5914417.50,410714.06,5914412.49,14.07,0.41,,PL854_PL855_PIGGYBACK_CORRIDOR,HISTORICAL_SPATIAL_FREESPAN_CORRIDOR_EVIDENCE,44,Appendix B Table B.1
2018,2018-06,23.403,23.426,410483.74,5914315.81,410459.34,5914306.18,23.16,0.30,Same span as 2014-05 (2014 and 2018); approximately 8.14 m longer than 2014.,PL854_PL855_PIGGYBACK_CORRIDOR,HISTORICAL_SPATIAL_FREESPAN_CORRIDOR_EVIDENCE,44,Appendix B Table B.1
2018,2018-07,23.475,23.480,410408.71,5914285.38,410403.69,5914283.00,4.95,0.29,Same span as 2014-06 (2014 and 2018); approximately 0.8 m longer than 2014.,PL854_PL855_PIGGYBACK_CORRIDOR,HISTORICAL_SPATIAL_FREESPAN_CORRIDOR_EVIDENCE,44,Appendix B Table B.1
2018,2018-08,23.489,23.489,410394.14,5914278.69,410393.92,5914278.58,0.21,0.09,,PL854_PL855_PIGGYBACK_CORRIDOR,HISTORICAL_SPATIAL_FREESPAN_CORRIDOR_EVIDENCE,44,Appendix B Table B.1
